contrast	set	query_symbol	matrix_symbol	log2fc
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	PSMA3	PSMA3	0.0734
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	PROCR	PROCR	-0.9817
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	IFI30	IFI30	0.1089
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	IRF2	IRF2	-0.0323
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	CNP	CNP	-0.3171
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	TENT5A	FAM46A	0.4051
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	IL4R	IL4R	0.4487
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	CMTR1	CMTR1	-0.2131
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	CD47	CD47	0.6444
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	MOV10	MOV10	0.4079
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	CASP8	CASP8	-0.6916
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	TXNIP	TXNIP	-0.2666
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	SLC25A28	SLC25A28	-0.0416
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	TRAFD1	TRAFD1	0.2029
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	RIPK2	RIPK2	-0.1891
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	NUB1	NUB1	0.0534
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	OGFR	OGFR	-0.2119
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	MVB12A	MVB12A	-0.2389
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	ELF1	ELF1	0.5607
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	STAT1	STAT1	0.0538
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ISG15	ISG15	-0.1060
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IFIT1	IFIT1	1.5987
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TAP1	FASN	-0.0029
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	EIF2AK2	EIF2AK2	0.0680
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IRF1	IRF1	0.1772
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	OAS3	OAS3	0.5897
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TNFSF10	TNFSF10	2.1633
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IFI44	IFI44	1.8742
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	SP110	SP110	-1.0081
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IFITM3	IFITM3	1.1885
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	LGALS3BP	LGALS3BP	-1.3229
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PML	PML	-0.4539
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IFIH1	IFIH1	-1.8923
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	UBE2L6	UBE2L6	-0.1105
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ADAR	ADAR	-0.0464
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	STAT2	STAT2	0.2951
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PLA2G4A	KAT5	0.3086
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TRIM21	TRIM21	-0.7787
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	USP18	USP18	0.4152
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	DDX58	DDX58	-0.3698
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	NMI	NMI	-0.8834
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PSMB10	PSMB10	-0.3672
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ITGB7	ITGB7	1.1328
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	SAMHD1	SAMHD1	-0.5062
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	HERC6	HERC6	-0.4142
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PTPN2	PTPN2	-0.0209
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PARP14	PARP14	-0.1254
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TNFAIP2	TNFAIP2	2.7000
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IFITM2	IFITM2	1.0846
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PLSCR1	PLSCR1	-0.0478
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ICAM1	ICAM1	0.5300
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	WARS1	WARS	0.1112
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PSME1	PSME1	0.4158
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ISG20	ISG20	-1.0608
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IRF2	IRF2	-0.0323
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TRIM14	TRIM14	-1.0534
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	SOCS3	SOCS3	1.2236
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	JAK2	JAK2	-1.1369
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PARP12	PARP12	-0.1724
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	NAMPT	NAMPT	-0.3281
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	SELP	SEPP1	2.9839
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	HELZ2	HELZ2	-0.0056
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PSME2	PSME2	0.1178
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	RNF31	RNF31	-0.0749
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	SOD2	SOD2	-0.2322
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TRIM25	TRIM25	0.1201
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	LAP3	LAP3	0.0307
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PSMA3	PSMA3	0.0734
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	RNF213	RNF213	0.3314
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PELI1	PELI1	-1.2237
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TXNIP	TXNIP	-0.2666
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	GCH1	GCH1	0.0473
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PNP	PNP	-0.1198
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PTPN6	PTPN6	0.3594
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	SPPL2A	SPPL2A	0.1670
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IL4R	IL4R	0.4487
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PNPT1	PNPT1	-0.3918
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	BTG1	BTG1	0.4987
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	CASP8	CASP8	-0.6916
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IFI30	IFI30	0.1089
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	CASP7	CASP7	-0.2144
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IL15RA	IL15RA	0.2381
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TRAFD1	TRAFD1	0.2029
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	HLA-DRB1	HLA-DRB1	1.4060
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	MT2A	MT2A	0.8601
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	RIPK1	RIPK1	0.3177
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TDRD7	TDRD7	-0.0871
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	HIF1A	HIF1A	-0.1347
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	EIF4E3	EIF4E3	-0.7649
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	VAMP8	VAMP8	0.0040
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PFKP	PFKP	-0.4732
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ZBP1	IGF2BP1	-1.7796
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	BANK1	BANK1	-1.6511
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TOR1B	TOR1B	0.0886
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	RBCK1	RBCK1	-0.1236
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	BPGM	BPGM	-0.9410
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	CMTR1	CMTR1	-0.2131
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	AUTS2	AUTS2	0.6278
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	RIPK2	RIPK2	-0.1891
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	MYD88	MYD88	0.2023
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PSMA2	PSMA2	-0.1770
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PIM1	PIM1	-0.2794
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	NOD1	NOD1	-0.4838
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	CFH	FH	-0.0924
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	SLC25A28	SLC25A28	-0.0416
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	PTPN1	PTPN1	0.1464
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	TNFAIP3	TNFAIP3	-0.9574
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	SSPN	SSPN	0.0456
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	NUP93	NUP93	0.2704
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	MTHFD2	MTHFD2	-0.3349
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	CDKN1A	CDKN1A	-0.4934
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IRF4	MUM1	-0.1658
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	NFKB1	NFKB1	0.1811
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	LATS2	LATS2	0.4331
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IRF5	IRF5	-0.0246
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ISOC1	ISOC1	0.2150
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	STAT3	STAT3	-0.5850
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	NCOA3	NCOA3	-0.0467
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IFNAR2	IFNAR2	0.1132
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	RAPGEF6	RAPGEF6	-0.2856
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	CASP4	CASP4	-2.0365
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	FAS	FAS	-1.7875
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	OGFR	OGFR	-0.2119
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ARL4A	ARL4A	0.7356
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	SRI	SRI	0.2217
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	LYSMD2	LYSMD2	0.0493
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ST3GAL5	ST3GAL5	-0.2572
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	CASP3	CASP3	0.1190
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	NFKBIA	NFKBIA	0.5517
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	METTL7B	METTL7B	-0.5112
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ST8SIA4	ST8SIA4	2.0379
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	VAMP5	VAMP5	0.2973
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	IL18BP	IL18BP	-0.1151
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ZNFX1	ZNFX1	0.2617
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_gamma	ARID5B	ARID5B	0.3887
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	ABRAXAS1	FAM175A	0.0534
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	ARTN	ARTN	-0.8821
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	ATM	ATM	-0.5089
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	BABAM1	BABAM1	-0.0518
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	BABAM2	BRE	0.0542
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	BARD1	BARD1	-0.1203
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	BRCA1	BRCA1	-0.3997
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	BRCC3	DEPDC1B	-0.1669
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	DCLRE1C	DCLRE1C	0.3982
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	H2AX	H2AFX	-0.1966
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	HERC2	HERC2	0.0837
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	KAT5	KAT5	0.3086
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	LIG4	LIG4	0.0493
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	LRIF1	LRIF1	0.0004
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	MRE11	MRE11A	-0.0148
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	NHEJ1	NHEJ1	0.1195
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	NSD2	WHSC1	-0.3531
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	PAXIP1	PAXIP1	0.1986
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	PIAS4	PIAS4	0.2029
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	POLL	POLL	-0.2086
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	POLM	POLM	-0.3365
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	PRKDC	PRKDC	0.2512
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	RAD50	RAD50	-0.1005
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	RNF168	RNF168	0.0668
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	RNF8	RNF8	0.0428
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	TDP1	TDP1	0.2374
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	TDP2	TDP2	0.2432
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	TP53BP1	TP53BP1	-0.1614
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	UBE2N	UBE2N	-0.0356
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	UBE2V2	UBE2V2	-0.0532
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	UIMC1	UIMC1	-0.0259
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	XRCC4	XRCC4	-0.2428
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	XRCC5	XRCC5	-0.1693
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_NHEJ_no_histone	XRCC6	XRCC6	-0.1077
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	ABCE1	ABCE1	-0.2450
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	ADAR	ADAR	-0.0464
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	EGR1	ZNF225	-0.2386
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	GBP2	GBP2	0.8515
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	HLA-C	HLA-C	-1.3894
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	HOXC13	HOXC13	-0.6046
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IFI6	IFI6	0.4749
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IFIT1	IFIT1	1.5987
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IFIT5	IFIT5	-0.6635
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IFITM1	IFITM1	0.5861
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IFITM2	IFITM2	1.0846
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IFITM3	IFITM3	1.1885
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IFNAR1	IFNAR1	0.5670
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IFNAR2	IFNAR2	0.1132
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Reactome_IFN_ab_no_ligand	IP6K2	IP6K2	0.0873
